Razin (SKU),Asin,Qty,CM3,Master carton Volume,Is Oversize,Parcels per MC,Currency
ELEC001,B08N5WRWNW,2500,0.85,0.06,0,250,USD
ELEC002,B08L5FM5JV,1800,1.20,0.08,0,180,USD
ELEC003,B07XJ8C8F5,3200,0.65,0.05,0,320,USD
ELEC004,B09B96TFJ5,1500,1.45,0.10,0,150,USD
ELEC005,B09KGF23M8,2000,0.95,0.07,0,200,USD
HOME001,B07S3F3V3Z,800,2.30,0.18,0,80,USD
HOME002,B08DHZ2Z5M,600,3.10,0.25,1,60,USD
HOME003,B09F6S894F,1200,1.80,0.15,0,120,USD
HOME004,B07Y5F8MBB,450,3.80,0.35,1,45,USD
HOME005,B08L3Q3C9S,900,2.50,0.20,0,90,USD
TOYS001,B08KY3FGBB,1600,1.25,0.12,0,160,USD
TOYS002,B09HGZ31FY,2200,0.90,0.08,0,220,USD
TOYS003,B07ZPKBL9V,700,2.80,0.24,1,70,USD
TOYS004,B08P3Q9B53,1400,1.60,0.14,0,140,USD
TOYS005,B09KGVB4YZ,1900,1.10,0.09,0,190,USD
SPRT001,B08FC5L3RG,500,3.50,0.30,1,50,USD
SPRT002,B09B29CTRT,1100,2.00,0.16,0,110,USD
SPRT003,B07Y8F37JD,850,2.40,0.19,0,85,USD
SPRT004,B09HZ5C4FC,300,4.20,0.40,1,30,USD
SPRT005,B08L4BH1F3,1300,1.70,0.13,0,130,USD
BOOK001,B09KLM3B4S,3500,0.45,0.04,0,350,USD
BOOK002,B08N5M9B6Z,2800,0.60,0.05,0,280,USD
BOOK003,B07XQTR98M,4000,0.35,0.03,0,400,USD
BOOK004,B09F9VBSHG,3000,0.55,0.04,0,300,USD
BOOK005,B08KWZ7B3S,2400,0.70,0.06,0,240,USD
FASH001,B09JNKB356,1000,2.20,0.17,0,100,USD
FASH002,B08L5WGQGJ,1500,1.80,0.14,0,150,USD
FASH003,B07Y2LXZ42,800,2.60,0.21,0,80,USD
FASH004,B09HGF3BDB,1200,2.00,0.16,0,120,USD
FASH005,B08FC6MN32,650,2.90,0.23,1,65,USD
FOOD001,B09KLMFTLY,2000,0.80,0.07,0,200,USD
FOOD002,B08N6R8DQY,2500,0.65,0.05,0,250,USD
FOOD003,B07XKCKK5L,1800,0.90,0.08,0,180,USD
FOOD004,B09B2BJLXN,3000,0.50,0.04,0,300,USD
FOOD005,B08DHY1X7H,2200,0.75,0.06,0,220,USD
PETS001,B08L3MMQXS,900,2.40,0.19,0,90,USD
PETS002,B09F9W89KC,700,2.80,0.22,1,70,USD
PETS003,B07Y3NFYNF,1100,2.10,0.17,0,110,USD
PETS004,B09JNLMQY3,500,3.20,0.26,1,50,USD
PETS005,B08KY6B2TZ,1300,1.90,0.15,0,130,USD
AUTO001,B08FC8S35Y,400,3.80,0.32,1,40,USD
AUTO002,B09HZ7N53T,600,3.20,0.28,1,60,USD
AUTO003,B07ZPNR36V,800,2.60,0.21,0,80,USD
AUTO004,B08P3S3P4R,350,4.00,0.38,1,35,USD
AUTO005,B09B2D38BZ,950,2.30,0.18,0,95,USD
GARD001,B08L4D3F8F,550,3.40,0.29,1,55,USD
GARD002,B09KGWXTLW,750,2.70,0.22,0,75,USD
GARD003,B08N5NVNYN,450,3.60,0.31,1,45,USD
GARD004,B07XK5MPKH,900,2.40,0.19,0,90,USD
GARD005,B09F6TKHFH,650,3.00,0.25,1,65,USD
